Year,Week No,Date,Qty
2021/2022,30.0,26-07-2022,615
2021/2022,31.0,02-08-2022,602
2021/2022,32.0,09-08-2022,594
2021/2022,33.0,16-08-2022,582
2021/2022,34.0,23-08-2022,572
2021/2022,35.0,30-08-2022,562
2021/2022,36.0,06-09-2022,554
2021/2022,37.0,13-09-2022,544
2021/2022,38.0,20-09-2022,539
2021/2022,39.0,27-09-2022,529
2020/2021,40.0,06-10-2020,638
2020/2021,41.0,13-10-2020,633
2020/2021,42.0,20-10-2020,627
2020/2021,43.0,27-10-2020,641
2020/2021,44.0,03-11-2020,645
2020/2021,45.0,10-11-2020,663
2020/2021,46.0,17-11-2020,673
2020/2021,47.0,24-11-2020,674
2020/2021,48.0,01-12-2020,674
2020/2021,49.0,08-12-2020,678
2020/2021,50.0,15-12-2020,737
2020/2021,51.0,22-12-2020,749
2020/2021,52.0,29-12-2020,749
2020/2021,1.0,05-01-2021,754
2020/2021,2.0,12-01-2021,747
2020/2021,3.0,19-01-2021,738
2020/2021,4.0,26-01-2021,753
2020/2021,5.0,02-02-2021,786
2020/2021,6.0,09-02-2021,778
2020/2021,7.0,16-02-2021,796
2020/2021,8.0,23-02-2021,789
2020/2021,9.0,02-03-2021,789
2020/2021,10.0,09-03-2021,800
2020/2021,11.0,16-03-2021,804
2020/2021,12.0,23-03-2021,805
2020/2021,13.0,30-03-2021,804
2020/2021,14.0,06-04-2021,803
2020/2021,15.0,13-04-2021,799
2020/2021,16.0,20-04-2021,793
2020/2021,17.0,27-04-2021,791
2020/2021,18.0,04-05-2021,792
2020/2021,19.0,11-05-2021,791
2020/2021,20.0,18-05-2021,787
2020/2021,21.0,25-05-2021,779
2020/2021,22.0,01-06-2021,774
2020/2021,23.0,08-06-2021,768
2020/2021,24.0,15-06-2021,761
2020/2021,25.0,22-06-2021,754
2020/2021,26.0,29-06-2021,748
2020/2021,27.0,06-07-2021,738
2020/2021,28.0,13-07-2021,724
2020/2021,29.0,20-07-2021,714
2020/2021,30.0,27-07-2021,699
2020/2021,31.0,03-08-2021,688
2020/2021,32.0,10-08-2021,677
2020/2021,33.0,17-08-2021,665
2020/2021,34.0,24-08-2021,655
2020/2021,35.0,31-08-2021,641
2020/2021,36.0,07-09-2021,632
2020/2021,37.0,14-09-2021,624
2020/2021,38.0,21-09-2021,618
2020/2021,39.0,28-09-2021,612
2019/2020,40.0,01-10-2019,499
2019/2020,41.0,08-10-2019,491
2019/2020,42.0,15-10-2019,481
2019/2020,43.0,22-10-2019,474
2019/2020,44.0,29-10-2019,468
2019/2020,45.0,05-11-2019,461
2019/2020,46.0,12-11-2019,461
2019/2020,47.0,19-11-2019,470
2019/2020,48.0,26-11-2019,477
2019/2020,49.0,03-12-2019,498
2019/2020,50.0,10-12-2019,511
2019/2020,51.0,17-12-2019,526
2019/2020,52.0,24-12-2019,597
2019/2020,53.0,31-12-2019,623
2019/2020,1.0,07-01-2020,628
2019/2020,2.0,14-01-2020,630
2019/2020,3.0,21-01-2020,630
2019/2020,4.0,28-01-2020,634
2019/2020,5.0,04-02-2020,656
2019/2020,6.0,11-02-2020,672
2019/2020,7.0,18-02-2020,678
2019/2020,8.0,25-02-2020,677
2019/2020,9.0,03-03-2020,676
2019/2020,10.0,10-03-2020,682
2019/2020,11.0,17-03-2020,680
2019/2020,12.0,24-03-2020,691
2019/2020,13.0,31-03-2020,696
2019/2020,14.0,07-04-2020,719
2019/2020,15.0,14-04-2020,734
2019/2020,16.0,21-04-2020,777
2019/2020,17.0,28-04-2020,793
2019/2020,18.0,05-05-2020,803
2019/2020,19.0,12-05-2020,806
2019/2020,20.0,19-05-2020,812
2019/2020,21.0,26-05-2020,809
2019/2020,22.0,02-06-2020,809
2019/2020,23.0,09-06-2020,806
2019/2020,24.0,16-06-2020,798
2019/2020,25.0,23-06-2020,788
2019/2020,26.0,30-06-2020,779
2019/2020,27.0,07-07-2020,765
2019/2020,28.0,14-07-2020,753
2019/2020,29.0,21-07-2020,742
2019/2020,30.0,28-07-2020,729
